source,target,path,path cost
58426,58427,"[58426, 58427]",0.0012125
681024,55324,"[681024, 55321, 55322, 55323, 55324]",0.0010000288898518986
328170,328171,"[328170, 328171]",0.0005
483820,482958,"[483820, 483821, 483822, 482958]",0.0009000188897777778
299187,299188,"[299187, 299188]",0.0002
322995,322989,"[322995, 322994, 322993, 322992, 322991, 322990, 322989]",5.000062500976582e-05
171945,171943,"[171945, 171944, 171943]",0.0002000066666666667
451289,451286,"[451289, 451288, 451287, 451286]",0.00023337777866666668
145730,121985,"[145730, 145729, 145728, 121984, 121985]",0.0004333433344074099
439987,439986,"[439987, 439986]",0.0007
623304,623308,"[623304, 623305, 623306, 623307, 623308]",0.00021250250002148485
108836,108837,"[108836, 108837]",0.0004333333333333333
655677,655665,"[655677, 655678, 655679, 655680, 655681, 655682, 655675, 655674, 655673, 655672, 655671, 655670, 655669, 655668, 655667, 655666, 655665]",0.002766731113925981
443902,443898,"[443902, 443901, 443900, 443899, 443898]",0.0004666700001852148
339589,196839,"[339589, 339588, 196839]",0.00120002
600910,600903,"[600910, 600909, 600908, 600907, 600906, 600905, 600867, 600904, 600903]",0.002566745556185252
305922,305922,[305922],0.0
304533,258656,"[304533, 258657, 258656]",0.00016666708333333335
686163,686177,"[686163, 686164, 686165, 686166, 686167, 686168, 686169, 686170, 686171, 686172, 686173, 686174, 686175, 686176, 686177]",0.0004333533337778037
213860,213864,"[213860, 213861, 213862, 213863, 213864]",3.333444451852593e-05
174454,174454,[174454],0.0
249187,249188,"[249187, 249188]",0.00016666666666666666
589052,589018,"[589052, 589053, 589054, 589018]",0.0013000433348148148
746956,746911,"[746956, 746955, 746954, 746911]",0.0004222248148655693
826236,826235,"[826236, 826235]",0.0006666666666666666
315744,315748,"[315744, 315745, 315746, 315747, 315748]",0.0008666944449259345
355049,355048,"[355049, 355048]",0.0002666666666666667
500525,501281,"[500525, 504596, 776617, 500472, 776616, 501281]",0.0019000288902222828
301080,281414,"[301080, 301081, 301082, 281419, 281418, 281417, 281416, 281415, 281414]",0.001037511875134769
236415,236410,"[236415, 236414, 236413, 236412, 236411, 236410]",0.0008000455565557013
639105,78187,"[639105, 76795, 76796, 76797, 76798, 76799, 81060, 81059, 81061, 81062, 81063, 81064, 81065, 81066, 81067, 81068, 81069, 81070, 81327, 81326, 81325, 81324, 81331, 81330, 81329, 81328, 78059, 81342, 81341, 81340, 81339, 81123, 81122, 81121, 78069, 81120, 81124, 81125, 81126, 81127, 81113, 81128, 81129, 81130, 81131, 81150, 81149, 81148, 81166, 81165, 81164, 81163, 78162, 78163, 78164, 78165, 78166, 78167, 78168, 78169, 78170, 78171, 78172, 78173, 78174, 78175, 78041, 78176, 78441, 78442, 78443, 78444, 78445, 78440, 78428, 78427, 78426, 78425, 78424, 78423, 78422, 78421, 78420, 78419, 78418, 78417, 78416, 78415, 78414, 78413, 78412, 78411, 78410, 78409, 78408, 78407, 572477, 81052, 572476, 572475, 572434, 572435, 572436, 572437, 572438, 81139, 572423, 572424, 572425, 572426, 572460, 572459, 572458, 572454, 572457, 572456, 572455, 572472, 572473, 572474, 572461, 572462, 572463, 572464, 572465, 78188, 78187]",0.0009000006250058595
782594,782593,"[782594, 782593]",0.0013
890316,890240,"[890316, 890317, 890318, 890319, 890320, 890321, 890322, 477477, 890232, 890233, 890234, 890235, 890236, 890237, 890238, 890239, 890240]",0.000337504843791016
410373,878182,"[410373, 410372, 878184, 878183, 878182]",0.0004500070313945336
106034,106035,"[106034, 106035]",0.00036666666666666667
213984,213986,"[213984, 213985, 213986]",0.00010000171874999998
17869,17867,"[17869, 17870, 17860, 17871, 11321, 11320, 11319, 11318, 11234, 11251, 11250, 11249, 11248, 11247, 11246, 11317, 11316, 11252, 11253, 11254, 11255, 11256, 11257, 11258, 11259, 11260, 11315, 11314, 11313, 11312, 11311, 11310, 11270, 11271, 11272, 11273, 11274, 11275, 11276, 11309, 11308, 11307, 11306, 11286, 11287, 11288, 11289, 11290, 11291, 11292, 11293, 11294, 11295, 11305, 11304, 10818, 10834, 10833, 10832, 10831, 10830, 10829, 11189, 11188, 11187, 11176, 11177, 11178, 11179, 11180, 11181, 11182, 11183, 11184, 11185, 11186, 11168, 11190, 17863, 17864, 17865, 17866, 17867]",0.00011251031269140831
148390,148389,"[148390, 148389]",0.0003333333333333333
172887,172884,"[172887, 172886, 172885, 172884]",6.250078125976562e-05
642393,642398,"[642393, 642394, 642395, 642396, 642397, 642398]",0.0003000122225555703
773950,773952,"[773950, 773951, 773952]",5.0000468750000006e-05
617081,617080,"[617081, 617080]",0.0007999999999999999
580021,580019,"[580021, 580020, 580019]",0.001666701111111111
261556,261554,"[261556, 261555, 261554]",0.0007000144444444444
876957,876955,"[876957, 547536, 876956, 876955]",5.000031250781251e-05
624258,624257,"[624258, 624257]",0.00013749999999999998
139925,139925,[139925],0.0
322023,286693,"[322023, 322022, 322021, 286695, 286694, 286693]",0.006300034445074091
715175,715179,"[715175, 715176, 715177, 715178, 715179]",0.0002625035937792975
