source,target,path,path cost
890550,890571,"[890550, 890551, 890577, 890578, 890579, 890580, 865623, 890568, 890569, 890570, 890571]",202
58426,58427,"[58426, 58427]",97
681024,55324,"[681024, 55321, 55322, 55323, 55324]",120
328170,328171,"[328170, 328171]",15
483820,482958,"[483820, 483821, 483822, 482958]",68
299187,299188,"[299187, 299188]",6
322995,322989,"[322995, 322994, 322993, 322992, 322991, 322990, 322989]",33
171945,171943,"[171945, 171944, 171943]",12
451289,451286,"[451289, 451288, 451287, 451286]",71
145730,121985,"[145730, 145729, 145728, 121984, 121985]",53
439987,439986,"[439987, 439986]",21
623304,623308,"[623304, 623305, 623306, 623307, 623308]",64
108836,108837,"[108836, 108837]",13
655677,655665,"[655677, 655676, 655647, 655646, 655665]",285
443902,443898,"[443902, 443901, 443900, 443899, 443898]",46
339589,196839,"[339589, 339588, 196839]",54
600910,600903,"[600910, 600909, 600908, 600907, 600906, 600905, 600867, 600904, 600903]",445
305922,305922,[305922],0
462820,536712,"[462820, 462821, 462822, 462760, 462761, 462762, 536730, 536731, 536744, 536745, 536746, 536747, 536712]",748
304533,258656,"[304533, 258657, 258656]",6
686163,686177,"[686163, 686164, 686165, 686166, 686167, 686168, 686169, 686170, 686171, 686172, 686173, 686174, 686175, 686176, 686177]",288
213860,213864,"[213860, 213861, 213862, 213863, 213864]",10
174454,174454,[174454],0
249187,249188,"[249187, 249188]",5
589052,589018,"[589052, 589053, 589054, 589018]",118
746956,746911,"[746956, 746955, 746954, 746911]",96
826236,826235,"[826236, 826235]",20
315744,315748,"[315744, 315745, 315746, 315747, 315748]",71
355049,355048,"[355049, 355048]",8
500525,501281,"[500525, 504596, 776617, 500472, 776616, 501281]",219
301080,281414,"[301080, 301081, 301082, 281419, 281418, 281417, 281416, 281415, 281414]",478
236415,236410,"[236415, 236414, 236413, 236412, 236411, 236410]",249
639105,78187,"[639105, 76795, 76796, 76797, 76798, 76799, 76800, 76801, 76802, 76803, 76804, 76805, 76806, 76807, 76808, 76809, 78187]",1671
782594,782593,"[782594, 782593]",39
890316,890240,"[890316, 890317, 890318, 890319, 890320, 890321, 890322, 477477, 890232, 890233, 890234, 890235, 890236, 890237, 890238, 890239, 890240]",280
410373,878182,"[410373, 410372, 878184, 878183, 878182]",253
106034,106035,"[106034, 106035]",11
213984,213986,"[213984, 213985, 213986]",19
17869,17867,"[17869, 17868, 17867]",408
148390,148389,"[148390, 148389]",10
172887,172884,"[172887, 172886, 172885, 172884]",15
642393,642398,"[642393, 642394, 642395, 642396, 642397, 642398]",62
773950,773952,"[773950, 773951, 773952]",7
624615,624657,"[624615, 624659, 624658, 624657]",198
617081,617080,"[617081, 617080]",72
580021,580019,"[580021, 580020, 580019]",81
261556,261554,"[261556, 261555, 261554]",34
876957,876955,"[876957, 547536, 876956, 876955]",10
624258,624257,"[624258, 624257]",11
139925,139925,[139925],0
322023,286693,"[322023, 322022, 322021, 286695, 286694, 286693]",329
715175,715179,"[715175, 715176, 715177, 715178, 715179]",86
465505,725383,"[465505, 465470, 465471, 465472, 465473, 653538, 655123, 655122, 655121, 725385, 725384, 725383]",603
